Panel,Assay
Olink Target 96 Cardiovascular III(v.6113),vWF
Olink Target 96 Cardiovascular III(v.6113),PECAM-1
Olink Target 96 Cardiovascular III(v.6113),MEPE
Olink Target 96 Cardiovascular III(v.6113),CCL16
Olink Target 96 Development(v.3521),CTSF
Olink Target 96 Development(v.3521),MATN2
Olink Target 96 Development(v.3521),HTRA2
Olink Target 96 Development(v.3521),MFGE8
Olink Target 96 Development(v.3521),NUDT5
Olink Target 96 Development(v.3521),ACAN
Olink Target 96 Development(v.3521),ITGB1
Olink Target 96 Development(v.3521),DKK3
Olink Target 96 Development(v.3521),SPINT2
Olink Target 96 Development(v.3521),APP
Olink Target 96 Development(v.3521),HAVCR2
Olink Target 96 Development(v.3521),DSC2
Olink Target 96 Development(v.3521),TMSB10
Olink Target 96 Development(v.3521),ANGPTL4
Olink Target 96 Development(v.3521),INHBC
Olink Target 96 Development(v.3521),SPINK1
Olink Target 96 Development(v.3521),CLEC11A
Olink Target 96 Development(v.3521),PDGFRB
Olink Target 96 Development(v.3521),COCH
Olink Target 96 Development(v.3521),FCRL5
Olink Target 96 Development(v.3521),PILRA
Olink Target 96 Development(v.3521),B4GALT1
Olink Target 96 Development(v.3521),CD300LG
Olink Target 96 Development(v.3521),PARK7
Olink Target 96 Development(v.3521),BLVRB
Olink Target 96 Development(v.3521),PLA2G4A
Olink Target 96 Development(v.3521),CD74
Olink Target 96 Development(v.3521),CCL21
Olink Target 96 Development(v.3521),PTPRF
Olink Target 96 Development(v.3521),BCAM
Olink Target 96 Development(v.3521),SIRPB1
Olink Target 96 Development(v.3521),IGF2R
Olink Target 96 Development(v.3521),P4HB
Olink Target 96 Development(v.3521),FUCA1
Olink Target 96 Development(v.3521),ESAM
Olink Target 96 Development(v.3521),ENPP2
Olink Target 96 Development(v.3521),BST1
Olink Target 96 Development(v.3521),CST6
Olink Target 96 Development(v.3521),MYOC
Olink Target 96 Development(v.3521),SNAP29
Olink Target 96 Development(v.3521),WFIKKN2
Olink Target 96 Development(v.3521),CDON
Olink Target 96 Development(v.3521),CD177
Olink Target 96 Development(v.3521),NID2
Olink Target 96 Development(v.3521),DAG1
Olink Target 96 Development(v.3521),CD97
Olink Target 96 Development(v.3521),PTPN6
Olink Target 96 Development(v.3521),CD109
Olink Target 96 Development(v.3521),VSIG4
Olink Target 96 Development(v.3521),CRIM1
Olink Target 96 Development(v.3521),CGA
Olink Target 96 Development(v.3521),CLEC14A
Olink Target 96 Development(v.3521),CA6
Olink Target 96 Development(v.3521),MIF
Olink Target 96 Development(v.3521),CRELD2
Olink Target 96 Development(v.3521),ITGA5
Olink Target 96 Development(v.3521),PEAR1
Olink Target 96 Development(v.3521),MESDC2
Olink Target 96 Development(v.3521),CD99L2
Olink Target 96 Development(v.3521),SCARF1
Olink Target 96 Development(v.3521),LGMN
Olink Target 96 Development(v.3521),SEMA7A
Olink Target 96 Development(v.3521),COLEC12
Olink Target 96 Development(v.3521),GUSB
Olink Target 96 Development(v.3521),FUT3/FUT5
Olink Target 96 Development(v.3521),STIP1
Olink Target 96 Development(v.3521),B4GAT1
Olink Target 96 Development(v.3521),CD69
Olink Target 96 Development(v.3521),CRHBP
Olink Target 96 Development(v.3521),MSMB
Olink Target 96 Development(v.3521),SPINT1
Olink Target 96 Development(v.3521),FSTL3
Olink Target 96 Development(v.3521),IL13RA1
Olink Target 96 Development(v.3521),CD58
Olink Target 96 Development(v.3521),CCN5
Olink Target 96 Development(v.3521),NOV
Olink Target 96 Development(v.3521),CNTN4
Olink Target 96 Development(v.3521),CA2
Olink Target 96 Development(v.3521),XG
Olink Target 96 Development(v.3521),ARSA
Olink Target 96 Development(v.3521),PPIB
Olink Target 96 Development(v.3521),SPINK5
Olink Target 96 Development(v.3521),OMD
Olink Target 96 Development(v.3521),PEBP1
Olink Target 96 Development(v.3521),PAMR1
Olink Target 96 Development(v.3521),ROBO1
Olink Target 96 Development(v.3521),FCER2
Olink Target 96 Development(v.3521),LAMA4
Olink Target 96 Development(v.3521),LAIR1
Olink Target 96 Development(v.3521),RELT
Olink Target 96 Development(v.3521),TPP1
Olink Target 96 Development(v.3521),CD209
Olink Target 96 Inflammation(v.3022),IL8
Olink Target 96 Inflammation(v.3022),VEGFA
Olink Target 96 Inflammation(v.3022),CD8A
Olink Target 96 Inflammation(v.3022),MCP-3
Olink Target 96 Inflammation(v.3022),GDNF
Olink Target 96 Inflammation(v.3022),CDCP1
Olink Target 96 Inflammation(v.3022),CD244
Olink Target 96 Inflammation(v.3022),IL7
Olink Target 96 Inflammation(v.3022),OPG
Olink Target 96 Inflammation(v.3022),LAP TGF-beta-1
Olink Target 96 Inflammation(v.3022),uPA
Olink Target 96 Inflammation(v.3022),IL6
Olink Target 96 Inflammation(v.3022),IL-17C
Olink Target 96 Inflammation(v.3022),MCP-1
Olink Target 96 Inflammation(v.3022),IL-17A
Olink Target 96 Inflammation(v.3022),CXCL11
Olink Target 96 Inflammation(v.3022),AXIN1
Olink Target 96 Inflammation(v.3022),TRAIL
Olink Target 96 Inflammation(v.3022),IL-20RA
Olink Target 96 Inflammation(v.3022),CXCL9
Olink Target 96 Inflammation(v.3022),CST5
Olink Target 96 Inflammation(v.3022),IL-2RB
Olink Target 96 Inflammation(v.3022),IL-1 alpha
Olink Target 96 Inflammation(v.3022),OSM
Olink Target 96 Inflammation(v.3022),IL2
Olink Target 96 Inflammation(v.3022),CXCL1
Olink Target 96 Inflammation(v.3022),TSLP
Olink Target 96 Inflammation(v.3022),CCL4
Olink Target 96 Inflammation(v.3022),CD6
Olink Target 96 Inflammation(v.3022),SCF
Olink Target 96 Inflammation(v.3022),IL18
Olink Target 96 Inflammation(v.3022),SLAMF1
Olink Target 96 Inflammation(v.3022),TGF-alpha
Olink Target 96 Inflammation(v.3022),MCP-4
Olink Target 96 Inflammation(v.3022),CCL11
Olink Target 96 Inflammation(v.3022),TNFSF14
Olink Target 96 Inflammation(v.3022),FGF-23
Olink Target 96 Inflammation(v.3022),IL-10RA
Olink Target 96 Inflammation(v.3022),FGF-5
Olink Target 96 Inflammation(v.3022),MMP-1
Olink Target 96 Inflammation(v.3022),LIF-R
Olink Target 96 Inflammation(v.3022),FGF-21
Olink Target 96 Inflammation(v.3022),CCL19
Olink Target 96 Inflammation(v.3022),IL-15RA
Olink Target 96 Inflammation(v.3022),IL-10RB
Olink Target 96 Inflammation(v.3022),IL-22 RA1
Olink Target 96 Inflammation(v.3022),IL-18R1
Olink Target 96 Inflammation(v.3022),PD-L1
Olink Target 96 Inflammation(v.3022),Beta-NGF
Olink Target 96 Inflammation(v.3022),CXCL5
Olink Target 96 Inflammation(v.3022),TRANCE
Olink Target 96 Inflammation(v.3022),HGF
Olink Target 96 Inflammation(v.3022),IL-12B
Olink Target 96 Inflammation(v.3022),IL-24
Olink Target 96 Inflammation(v.3022),IL13
Olink Target 96 Inflammation(v.3022),ARTN
Olink Target 96 Inflammation(v.3022),MMP-10
Olink Target 96 Inflammation(v.3022),IL10
Olink Target 96 Inflammation(v.3022),TNF
Olink Target 96 Inflammation(v.3022),CCL23
Olink Target 96 Inflammation(v.3022),CD5
Olink Target 96 Inflammation(v.3022),CCL3
Olink Target 96 Inflammation(v.3022),Flt3L
Olink Target 96 Inflammation(v.3022),CXCL6
Olink Target 96 Inflammation(v.3022),CXCL10
Olink Target 96 Inflammation(v.3022),4E-BP1
Olink Target 96 Inflammation(v.3022),IL-20
Olink Target 96 Inflammation(v.3022),SIRT2
Olink Target 96 Inflammation(v.3022),CCL28
Olink Target 96 Inflammation(v.3022),DNER
Olink Target 96 Inflammation(v.3022),EN-RAGE
Olink Target 96 Inflammation(v.3022),CD40
Olink Target 96 Inflammation(v.3022),IL33
Olink Target 96 Inflammation(v.3022),IFN-gamma
Olink Target 96 Inflammation(v.3022),FGF-19
Olink Target 96 Inflammation(v.3022),IL4
Olink Target 96 Inflammation(v.3022),LIF
Olink Target 96 Inflammation(v.3022),NRTN
Olink Target 96 Inflammation(v.3022),MCP-2
Olink Target 96 Inflammation(v.3022),CASP-8
Olink Target 96 Inflammation(v.3022),CCL25
Olink Target 96 Inflammation(v.3022),CX3CL1
Olink Target 96 Inflammation(v.3022),TNFRSF9
Olink Target 96 Inflammation(v.3022),NT-3
Olink Target 96 Inflammation(v.3022),TWEAK
Olink Target 96 Inflammation(v.3022),CCL20
Olink Target 96 Inflammation(v.3022),ST1A1
Olink Target 96 Inflammation(v.3022),STAMBP
Olink Target 96 Inflammation(v.3022),IL5
Olink Target 96 Inflammation(v.3022),ADA
Olink Target 96 Inflammation(v.3022),TNFB
Olink Target 96 Inflammation(v.3022),CSF-1
Olink Target 96 Oncology III(v.4001),CD22
Olink Target 96 Oncology III(v.4001),INPP1
Olink Target 96 Oncology III(v.4001),ALPP
Olink Target 96 Oncology III(v.4001),CGB3
Olink Target 96 Oncology III(v.4001),TBL1X
Olink Target 96 Oncology III(v.4001),NAMPT
Olink Target 96 Oncology III(v.4001),IL17F
Olink Target 96 Oncology III(v.4001),VMO1
Olink Target 96 Oncology III(v.4001),TPMT
Olink Target 96 Oncology III(v.4001),IFNGR2
Olink Target 96 Oncology III(v.4001),KLK4
Olink Target 96 Oncology III(v.4001),ERP44
Olink Target 96 Oncology III(v.4001),CBLN4
Olink Target 96 Oncology III(v.4001),ACAA1
Olink Target 96 Oncology III(v.4001),NT5C3A
Olink Target 96 Oncology III(v.4001),GAMT
Olink Target 96 Oncology III(v.4001),HEXA
Olink Target 96 Oncology III(v.4001),S100A16
Olink Target 96 Oncology III(v.4001),PSPN
Olink Target 96 Oncology III(v.4001),DCTPP1
Olink Target 96 Oncology III(v.4001),MANSC1
Olink Target 96 Oncology III(v.4001),GFER
Olink Target 96 Oncology III(v.4001),RP2
Olink Target 96 Oncology III(v.4001),JCHAIN
Olink Target 96 Oncology III(v.4001),RAB6A
Olink Target 96 Oncology III(v.4001),C1QA
Olink Target 96 Oncology III(v.4001),AKR1B1
Olink Target 96 Oncology III(v.4001),SCG2
Olink Target 96 Oncology III(v.4001),RFNG
Olink Target 96 Oncology III(v.4001),MLN
Olink Target 96 Oncology III(v.4001),TNFAIP8
Olink Target 96 Oncology III(v.4001),AIF1
Olink Target 96 Oncology III(v.4001),ARHGAP25
Olink Target 96 Oncology III(v.4001),IL1B
Olink Target 96 Oncology III(v.4001),CCT5
Olink Target 96 Oncology III(v.4001),CASP2
Olink Target 96 Oncology III(v.4001),ELOA
Olink Target 96 Oncology III(v.4001),NCS1
Olink Target 96 Oncology III(v.4001),LSP1
Olink Target 96 Oncology III(v.4001),AFP
Olink Target 96 Oncology III(v.4001),GOPC
Olink Target 96 Oncology III(v.4001),USO1
Olink Target 96 Oncology III(v.4001),CNPY2
Olink Target 96 Oncology III(v.4001),9-Sep
Olink Target 96 Oncology III(v.4001),AIMP1
Olink Target 96 Oncology III(v.4001),SCGN
Olink Target 96 Oncology III(v.4001),CDC27
Olink Target 96 Oncology III(v.4001),TXNDC15
Olink Target 96 Oncology III(v.4001),ICAM5
Olink Target 96 Oncology III(v.4001),FUS
Olink Target 96 Oncology III(v.4001),PTP4A1
Olink Target 96 Oncology III(v.4001),FOXO3
Olink Target 96 Oncology III(v.4001),VWA1
Olink Target 96 Oncology III(v.4001),FLT3
Olink Target 96 Oncology III(v.4001),COL9A1
Olink Target 96 Oncology III(v.4001),BRK1
Olink Target 96 Oncology III(v.4001),NELL1
Olink Target 96 Oncology III(v.4001),SFTPA1
Olink Target 96 Oncology III(v.4001),VPS37A
Olink Target 96 Oncology III(v.4001),DRG2
Olink Target 96 Oncology III(v.4001),HMBS
Olink Target 96 Oncology III(v.4001),CLIP2
Olink Target 96 Oncology III(v.4001),CXCL14
Olink Target 96 Oncology III(v.4001),HSPB6
Olink Target 96 Oncology III(v.4001),ATP6V1D
Olink Target 96 Oncology III(v.4001),LAP3
Olink Target 96 Oncology III(v.4001),LACTB2
Olink Target 96 Oncology III(v.4001),HBQ1
Olink Target 96 Oncology III(v.4001),SCLY
Olink Target 96 Oncology III(v.4001),MYO9B
Olink Target 96 Oncology III(v.4001),CD300E
Olink Target 96 Oncology III(v.4001),SPINK4
Olink Target 96 Oncology III(v.4001),YTHDF3
Olink Target 96 Oncology III(v.4001),CDHR2
Olink Target 96 Oncology III(v.4001),CPVL
Olink Target 96 Oncology III(v.4001),ICAM4
Olink Target 96 Oncology III(v.4001),PSMD9
Olink Target 96 Oncology III(v.4001),ACTN4
Olink Target 96 Oncology III(v.4001),VPS53
Olink Target 96 Oncology III(v.4001),CALCOCO1
Olink Target 96 Oncology III(v.4001),UBAC1
Olink Target 96 Oncology III(v.4001),GGA1
Olink Target 96 Oncology III(v.4001),PTPRM
Olink Target 96 Oncology III(v.4001),GALNT7
Olink Target 96 Oncology III(v.4001),FLT1
Olink Target 96 Oncology III(v.4001),VAT1
Olink Target 96 Oncology III(v.4001),TPT1
Olink Target 96 Oncology III(v.4001),L1CAM
Olink Target 96 Oncology III(v.4001),GPA33
Olink Target 96 Oncology III(v.4001),HLA-E
Olink Target 96 Oncology III(v.4001),PCDH1
Olink Target 96 Oncology III(v.4001),NPY
Olink Target 96 Cardiovascular II(v.5006),Plate ID
Olink Target 96 Cardiovascular III(v.6113),Plate ID
Olink Target 96 Development(v.3521),Plate ID
Olink Target 96 Inflammation(v.3022),Plate ID
Olink Target 96 Oncology III(v.4001),Plate ID
Olink Target 96 Cardiovascular II(v.5006),QC Warning
Olink Target 96 Cardiovascular III(v.6113),QC Warning
Olink Target 96 Development(v.3521),QC Warning
Olink Target 96 Inflammation(v.3022),QC Warning
Olink Target 96 Oncology III(v.4001),QC Warning
